solution_id,cost,dissatisfaction,peak_power
0,10.56,5.8953,14.07
1,16.91,2.8877,58.37
2,54.47,2.7638,47.34
3,-1.75,6.9278,24.73
4,-4.50,5.1269,36.89
5,-1.43,6.3148,27.77
6,1.38,3.8160,56.08
7,14.24,5.4853,15.91
8,-3.17,4.9486,44.67
9,-0.29,6.1578,27.12
10,21.64,2.8891,53.74
11,48.99,2.8333,38.48
12,-0.05,6.0119,22.83
13,46.31,2.8972,34.14
14,5.39,3.8998,45.12
15,1.94,5.5688,28.46
16,22.95,4.7442,18.44
17,37.65,2.7638,57.78
18,52.26,2.7716,50.94
19,23.87,2.9504,42.88
20,39.54,2.8979,33.15
21,9.55,3.1215,49.79
22,34.70,3.5405,23.93
23,4.68,4.1225,39.01
24,-2.51,5.7011,34.44
25,45.85,2.8556,37.64
26,20.45,4.3252,20.99
27,42.07,3.1230,29.64
28,12.26,3.5219,40.37
29,6.21,3.2755,49.11
30,11.56,4.6822,19.34
31,36.10,3.1894,27.10
32,50.42,2.8112,38.36
33,13.75,3.4388,36.29
34,0.84,4.6446,29.19
35,16.28,2.9962,41.61
36,0.24,5.7752,19.81
37,44.33,3.0694,30.79
38,4.93,4.3848,35.59
39,12.72,5.2975,17.47
40,33.96,2.8318,39.74
41,41.45,3.5954,22.51
42,37.80,2.7649,52.56
43,30.03,3.3095,28.14
44,19.08,2.9272,51.08
45,2.56,5.8835,19.04
46,32.21,3.4459,25.05
47,27.09,3.5699,25.51
48,31.44,2.9082,37.28
49,38.44,2.7819,48.03
50,19.32,5.2654,16.45
51,-2.88,4.8382,42.38
52,24.72,2.8443,52.83
53,26.03,4.2076,20.14
54,-0.90,5.8041,27.63
55,9.93,4.2886,31.85
56,25.84,3.0458,41.06
57,-0.87,5.6430,29.00
58,14.72,3.6218,34.87
59,20.80,3.8772,26.55
60,18.31,4.9626,17.99
61,43.64,2.7918,39.29
62,50.79,2.9537,30.58
63,27.77,4.0228,21.70
64,3.33,5.2226,23.33
65,9.07,4.5253,25.13
66,22.32,5.0767,16.93
67,25.04,2.7892,50.91
68,7.64,5.3620,20.56
69,36.51,3.0275,32.24
70,26.38,3.3519,31.13
71,13.54,3.1397,46.68
72,40.63,2.8602,39.28
73,32.91,4.0010,24.20
74,17.96,4.3109,22.03
75,8.53,4.7891,23.45
76,6.27,4.5809,35.11
77,7.79,5.0363,21.93
78,15.63,3.3728,30.03
79,6.81,3.7623,39.49
80,27.94,3.2226,32.24
81,15.31,3.7385,30.28
82,3.19,4.8257,25.87
83,28.58,4.0934,17.63
84,3.84,5.6639,17.04
85,3.70,4.8742,24.74
86,2.50,4.0696,46.74
87,19.74,3.1436,32.85
88,29.83,3.3033,31.39
89,13.44,3.6977,37.24
90,7.58,3.9957,32.67
91,16.74,3.9467,24.38
92,14.24,5.4100,16.93
93,8.33,4.4184,26.31
94,18.56,4.4340,20.25
95,15.83,4.4977,21.76
96,29.03,2.9439,35.28
97,11.64,3.9206,26.71
98,22.07,3.0777,40.60
99,18.49,4.2542,23.19
